,Number,Gender,NameSet,GivenName,Surname,StreetAddress,City,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,Birthday,Age,Occupation,Company,Vehicle,BloodType,Kilograms,FeetInches,CrimeType,Area,Crime by Area
1109,1110,female,American,Gabriel,Moore,1442 Algonquin Blvd,Timmins,Ontario,P4N 7C4,Canada,TanjaLMoore@einrot.com,705-465-4299,4/20/1985,37,Communications equipment operator,Express Merchant Service,2003 Lada 2123,A+,75.7,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),Central,2198
1110,1111,male,American,Marc,Sturdevant,3125 James Street,Fauquier,Ontario,P0L 1G0,Canada,ClintonMSturdevant@cuvox.de,705-339-0342,10/31/2000,22,Systems developer,Monk Real Estate Service,2005 Ford Ka,A+,91.7,"6' 1""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,10
1111,1112,male,American,Amy,Haynes,4010 Nelson Street,Nakina,Ontario,P0T 2H0,Canada,JamesWHaynes@armyspy.com,807-329-2037,3/30/1986,36,Personnel analyst,Team Uno,2010 Chevrolet Orlando,O+,63.8,"5' 7""",Mischief,West Point Grey,229
1112,1113,male,American,Mary,Allen,3767 Algoma St,Thunder Bay,Ontario,P7A 4T3,Canada,FranklinNAllen@teleworm.us,807-343-5615,7/19/1977,45,"Carpet, floor, and tile finisher",Accord Investments,2009 Renault Espace,A+,94.8,"5' 7""",Mischief,Kitsilano,645
1113,1114,female,American,Sandy,Barr,4607 Blind Bay Road,Enderby,British Columbia,V0E 1V0,Canada,GerryMBarr@einrot.com,250-838-4491,07-02-1998,24,Gas furnace installer,Quality Merchant Services,2004 GMC Yukon,B+,53.7,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,100
1114,1115,male,American,Heather,Silverman,4300 Lynden Road,Bethany,Ontario,L0A 1A0,Canada,DanielFSilverman@fleckens.hu,705-277-3136,10-04-2002,20,Environmental scientist,Hudson's MensWear,1997 Nissan President,O+,60.3,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,53
1115,1116,male,American,Allen,Moss,1055 Eagle Rd,Toronto,Ontario,M8Z 4H4,Canada,RobertEMoss@superrito.com,416-734-7204,3/18/1976,46,Nurse administrator,Record Bar,2010 GMC Envoy,B+,68.3,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Central,53
1116,1117,male,American,Victoria,Boling,4917 Fallon Drive,Watford,Ontario,N0M 2S0,Canada,JohnCBoling@dayrep.com,519-849-9824,10/14/1996,26,Maintenance and repair worker,Tianguis,2002 Porsche Boxster,B+,94.0,"5' 10""",Offence Against a Person,Central,47
1117,1118,male,American,Bradley,McJunkin,3668 St. John Street,Wollaston Lake,Saskatchewan,S4P 3Y2,Canada,JoshuaTMcJunkin@armyspy.com,306-633-9751,08-09-1984,38,Ambulance attendant,Matrix Interior Design,2009 Renault Grand Scenic,B+,85.8,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,13
1118,1119,male,American,Craig,Hawkins,76 Harvest Moon Dr,Unionville,Ontario,L3R 0L7,Canada,GarrettCHawkins@rhyta.com,905-479-3555,6/29/1980,42,Religious activities and education director,Richman Brothers,2005 Nissan Sport,AB+,87.7,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,100
1119,1120,female,American,Derrick,Sanders,4994 Goyeau Ave,Windsor,Ontario,N9A 1H9,Canada,NancySSanders@teleworm.us,519-563-6152,7/14/1978,44,Pipefitter,Shabby Chic,2007 Chevrolet Matiz,O+,83.4,"5' 4""",Offence Against a Person,Oakville,33
1120,1121,male,American,Jason,Smith,411 Yonge Street,Toronto,Ontario,M4W 1J7,Canada,GregKSmith@jourrapide.com,416-515-3011,06-08-1999,23,Customer service representative,Galyan's,2009 Fiat Sedici,O+,72.7,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,98
1121,1122,male,American,Scott,Jarvis,572 Park Ct,Tomahawk,Alberta,T0E 2H0,Canada,RolandEJarvis@teleworm.us,780-339-7537,08-11-1972,50,Quality control technician,Red Food,2012 GMC Sierra,A+,80.0,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),Mount Pleasant,5
1122,1123,female,American,Joshua,Vogt,578 Tycos Dr,Toronto,Ontario,M5T 1T4,Canada,PaigeGVogt@superrito.com,416-948-4142,4/26/1984,38,Neuroscience nurse,Castro Convertibles,2011 Chevrolet Traverse,O+,78.2,"5' 5""",Mischief,West Point Grey,100
1123,1124,male,American,Clifford,Reimer,1062 Adelaide St,Toronto,Ontario,M5H 1P6,Canada,JohnDReimer@armyspy.com,416-338-4736,05-07-1987,35,Systems architect,Martin's,2007 Pontiac G5,O-,104.2,"5' 10""",Break and Enter Commercial,West Point Grey,33
1124,1125,female,American,Serena,Brackman,2344 Blanshard,Victoria,British Columbia,V8W 2H9,Canada,MyrtleMBrackman@jourrapide.com,250-886-7588,12-03-1981,41,Cable splicer,JasmineSola,2011 Jeep Patriot,A+,92.6,"5' 2""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,5
1125,1126,male,American,Mistie,Carey,1320 Charing Cross Rd,Chatham,Ontario,N7M 2G9,Canada,ShawnPCarey@rhyta.com,519-351-2721,09-05-1986,36,Journalist,ManCharm,1997 Volvo S70,O+,110.4,"5' 11""",Offence Against a Person,Latchford,35
1126,1127,male,American,Robert,Glenn,3949 Reserve St,Deep River,Ontario,K0J 1P0,Canada,BradleyIGlenn@cuvox.de,613-584-0191,04-02-1983,39,Cutting and slicing machine tender,Weenie Beenie,2007 Kia Rio,O+,90.6,"6' 2""",Break and Enter Residential/Other,Kitsilano,41
1127,1128,male,American,Bryan,Miller,1002 Hardy Street,Kelowna,British Columbia,V1Y 8H2,Canada,LouisMMiller@einrot.com,250-212-3886,4/28/1992,30,Microbiologist,Erb Lumber,2010 Tata Safari,AB+,78.7,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,47
1128,1129,female,American,Mildred,Durkin,4648 Galts Ave,Red Deer,Alberta,T4N 2A6,Canada,BonnieJDurkin@jourrapide.com,403-358-2838,12/29/1986,36,Line cook,Planet Profit,2012 Opel Meriva,O-,93.8,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,33
1129,1130,female,American,Dalia,Silva,2749 Islington Ave,Toronto,Ontario,M8V 3B6,Canada,CeciliaRSilva@teleworm.us,647-220-9188,8/14/2002,20,Prosthetics technician,Burstein-Applebee,2001 Chrysler Concorde,O+,64.2,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,7
1130,1131,male,American,Claude,Rodriguez,2309 Tchesinkut Lake Rd,Granisle,British Columbia,V0J 1W0,Canada,RogerLRodriguez@cuvox.de,250-697-7696,12/27/1990,32,Brake repairer,Specialty Restaurant Group,2009 Mercedes-Benz CLC,B+,107.2,"5' 6""",Break and Enter Residential/Other,South Granville,10
1131,1132,male,American,Irma,Bennett,4028 Danforth Avenue,Toronto,Ontario,M4K 1A6,Canada,FrancisKBennett@dayrep.com,416-462-7116,07-12-1999,23,Personnel services specialist,Realty Solution,2001 Fiat Punto,AB+,89.3,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,53
1132,1133,female,American,Esther,Garza,3885 St Jean Baptiste St,St Ephrem De Beauce,Quebec,G0M 1R0,Canada,LeonaPGarza@dayrep.com,418-484-7938,11-05-1973,49,Television camera operator,Target Source,2002 Daewoo Leganza,B+,104.4,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,13
1133,1134,male,American,Timothy,Prather,520 Adelaide St,Toronto,Ontario,M5H 1P6,Canada,CharlesMPrather@gustr.com,416-868-9680,06-01-1993,29,Portrait photographer,Keeney's,1993 Mitsubishi Field Guard,A+,94.9,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,2198
1134,1135,female,American,Alicia,Glessner,3874 Papineau Avenue,Montreal,Quebec,H2K 4J5,Canada,AubreyWGlessner@fleckens.hu,514-781-7061,1/14/1985,38,Aerobics instructor,Formula Grey,1994 Ford Fairlane,B+,88.1,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,10
1135,1136,female,American,Jessica,Hedman,1669 Embro St,Beachville,Ontario,N0J 1A0,Canada,NancyPHedman@einrot.com,519-423-9259,4/24/1982,40,Community dietitian,McMahan's Furniture,1999 Nissan X-Trail,O+,68.9,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,41
1136,1137,female,American,Patricia,Stallings,2705 Brew Creek Rd,Port Hardy,British Columbia,V0N 2P0,Canada,DoloresRStallings@fleckens.hu,250-902-0725,3/21/2003,19,Market and survey researcher,Sammy's Record Shack,2009 Geely CK,O+,54.1,"5' 0""",Other Theft,South Vancouver,100
1137,1138,female,American,Tom,Schmitt,1783 Hyde Park Road,London,Ontario,N6A 5R2,Canada,TrishaTSchmitt@teleworm.us,519-488-3239,08-03-1993,29,Position classifier,Wellby,2006 Daihatsu Terios,O+,84.4,"5' 1""",Break and Enter Commercial,Mount Pleasant,53
1138,1139,male,American,Asa,Jones,4335 Nelson Street,Pikangikum,Ontario,P0V 2L0,Canada,EdwardSJones@gustr.com,807-773-5398,7/20/1985,37,Transit and railroad police,Consumers and Consumers Express,2003 Cadillac CTS,A+,108.2,"5' 11""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,13
1139,1140,male,American,Jon,Guzman,2105 Parkdale Avenue,Hamilton,Ontario,L8K 1A4,Canada,MichaelCGuzman@jourrapide.com,905-545-6540,1/13/1995,28,Receive-and-deliver clerk,Jeans Unlimited,2011 Suzuki Alto,O+,70.1,"5' 10""",Break and Enter Residential/Other,Grandview,47
1140,1141,female,American,Georgetta,Harris,3370 Burdett Avenue,Black Point,British Columbia,V8A 4Z2,Canada,MarjorieAHarris@teleworm.us,604-487-5606,4/27/1974,48,Bonus clerk,Movie Gallery,1992 Skoda L,O+,56.6,"5' 3""",Mischief,Mount Pleasant,10
1141,1142,male,American,Carolyn,Gano,3178 Reserve St,Wolfe Island,Ontario,K0H 2Y0,Canada,RoyRGano@armyspy.com,613-385-9308,10/14/1986,36,Crop farm manager,Argus Tapes & Records,1999 Toyota Previa,O-,92.9,"6' 1""",Offence Against a Person,Grandview,8
1142,1143,male,American,William,Allen,118 Adelaide St,Toronto,Ontario,M5H 1P6,Canada,GaryCAllen@armyspy.com,416-359-7667,01-06-1974,49,Plumber,Leonard Krower & Sons,2002 TVR T 350,O+,111.6,"5' 6""",Offence Against a Person,Latchford,100
1143,1144,male,American,Lynnette,Brooks,56 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,SamualSBrooks@fleckens.hu,604-910-6527,10/15/1979,43,Skin care specialist,Maxaprofit,2008 BMW X5,A+,103.1,"5' 6""",Theft from Vehicle,West Point Grey,8
1144,1145,male,American,Angela,Hudson,2222 Glover Road,Coquitlam,British Columbia,V3J 4S1,Canada,JackKHudson@gustr.com,604-937-3267,4/24/2000,22,Printmaker,Total Yard Maintenance,2012 Ford F-350,O+,60.8,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,100
1145,1146,female,American,Regina,Hudgens,422 Glover Road,Surrey,British Columbia,V3W 4N6,Canada,PeggyHHudgens@gustr.com,604-635-7155,03-07-1997,25,Broker associate,Zany Brainy,2004 Chevrolet Suburban,O+,64.6,"5' 2""",Break and Enter Commercial,The West End,726
1146,1147,female,American,Kevin,McCrea,1706 Lynden Road,Stayner,Ontario,L0M 1S0,Canada,ShanonRMcCrea@rhyta.com,705-428-5044,07-04-1987,35,Small engine service technician,K&G Distributors,2003 Mahindra Commander,B-,73.4,"5' 2""",Offence Against a Person,Mount Pleasant,845
1147,1148,female,American,Christine,Rose,1148 Runnymede Rd,Toronto,Ontario,M6S 2Z7,Canada,SaraGRose@teleworm.us,416-762-7288,03-02-1994,28,Occupational health and safety technician,Eagle Food Centers,2011 Chevrolet Express,O+,84.8,"5' 8""",Mischief,West Point Grey,7
1148,1149,female,American,Queen,Joyner,3700 Adelaide St,Toronto,Ontario,M5H 1P6,Canada,DollyJJoyner@rhyta.com,416-947-1629,5/28/1986,36,Process metallurgical engineer,Brilliant Home Designs,2006 Saturn Relay,B+,83.2,"5' 1""",Theft from Vehicle,Kitsilano,845
1149,1150,male,American,Maurice,Kincaid,497 Bay Street,Toronto,Ontario,M5J 2R8,Canada,GaryIKincaid@gustr.com,416-856-9991,7/22/2000,22,Market research analyst,Wells & Wade,2005 Koenigsegg CCR,O-,73.0,"6' 1""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,7
1150,1151,male,American,Charles,Davis,374 rue Saint-Charles,Longueuil,Quebec,J4H 1M3,Canada,KeithVDavis@rhyta.com,450-646-2987,11-02-1998,24,Instructional specialist,Your Future Is Now,2000 Volkswagen Sharan,AB+,81.3,"6' 2""",Mischief,Kitsilano,10
1151,1152,male,American,Jason,Edgar,1041 Alness Street,Toronto,Ontario,M3J 2J1,Canada,KurtLEdgar@einrot.com,416-736-6211,4/26/2003,19,Health information manager,McDade's,2002 Chevrolet Corvette,O+,67.7,"6' 2""",Mischief,West Point Grey,13
1152,1153,female,American,Lori,Melendez,1903 Heatherleigh,Cooksville,Ontario,L5A 1V9,Canada,NellieJMelendez@fleckens.hu,905-270-3837,3/30/1985,37,Organizational economist,Kleinhans,2012 BMW X5,A+,69.9,"5' 5""",Break and Enter Residential/Other,Grandview,13
1153,1154,female,American,Roy,Marsh,2649 Nelson Street,Longlac,Ontario,P0T 2A0,Canada,BettyGMarsh@cuvox.de,807-876-2560,04-02-1978,44,Military occupation,First Choice Garden Maintenance,2005 TVR Cerbera,O+,67.1,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,10
1154,1155,male,American,William,Stouffer,1310 No. 3 Road,Richmond,British Columbia,V6X 2B8,Canada,DavidBStouffer@einrot.com,604-214-7720,05-12-1995,27,Legal investigator,Purity,1996 Mitsubishi FTO,O+,86.0,"5' 8""",Break and Enter Commercial,South Granville,10
1155,1156,male,American,Curtis,Stone,202 Brook St,Newcombville,Nova Scotia,B4V 2V8,Canada,RichardFStone@gustr.com,902-553-4259,12/19/1973,49,Radiologist,Robinson Furniture,2007 Nissan Maxima,A-,101.4,"6' 0""",Break and Enter Residential/Other,West Point Grey,33
1156,1157,female,American,Ronald,Guest,107 Pine Street,Mulhurst Bay,Alberta,T0C 2C0,Canada,MelaniePGuest@einrot.com,780-389-1614,10/28/2003,19,Snowmobile mechanic,Larry's Markets,1996 Toyota Conquest,O+,61.4,"5' 3""",Other Theft,South Vancouver,845
1157,1158,male,American,Leonel,Schexnayder,1543 Saskatchewan Dr,Quebec,Quebec,S4P 3Y2,Canada,JeromeISchexnayder@einrot.com,418-527-2840,07-06-1991,31,Urban and regional planner,Integra Investment Service,2002 Holden Monaro,A+,101.2,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Central,229
1158,1159,male,American,Arden,Hayes,2370 Jasper Ave,Edmonton,Alberta,T5J 3N6,Canada,DonaldJHayes@armyspy.com,780-965-0265,10/18/1988,34,Broadcast captioner,Big D Supermarkets,2010 Ford E-350,AB+,109.0,"5' 7""",Break and Enter Commercial,Oakville,2198
1159,1160,male,American,Norman,Crocker,110 Bay Street,Toronto,Ontario,M5J 2R8,Canada,KeithJCrocker@teleworm.us,416-857-0447,12/28/1980,42,Tour escort,Builderama,2011 Volkswagen Routan,A+,110.9,"5' 6""",Break and Enter Residential/Other,Kitsilano,100
1160,1161,male,American,Felix,Sheller,3836 rue des Églises Est,Shawville,Quebec,J0X 2Y0,Canada,DamonPSheller@teleworm.us,819-647-6210,01-03-1998,25,Structural metal fitter,Canal Villere,2010 Nissan Livina,B+,84.6,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,13
1161,1162,female,American,Jose,Robbins,2230 René-Lévesque Blvd,Montreal,Quebec,H3B 4W8,Canada,MargaretERobbins@teleworm.us,514-812-9463,02-06-2000,23,Ambulance driver,Mission You,2015 Nissan NV Passenger,B+,80.8,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,98
1162,1163,male,American,Carlos,Thornton,3463 Nelson Street,Pikangikum,Ontario,P0V 2L0,Canada,LazaroEThornton@armyspy.com,807-773-4757,10/14/1972,50,Real estate sales agent,The Wiz,2002 Mitsubishi Magna,O+,110.5,"5' 8""",Break and Enter Residential/Other,Central,845
1163,1164,female,American,Brad,Chastain,1682 Glover Road,Surrey,British Columbia,V3T 2B3,Canada,JaneDChastain@dayrep.com,604-495-6401,11-06-1980,42,Control technician,Heilig-Meyers,2005 Lotec C 1000,A+,65.8,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,9
1164,1165,male,American,Mabel,Erby,4504 Weir Crescent,Toronto,Ontario,M1E 3T8,Canada,ArthurCErby@einrot.com,905-509-0231,11-08-1974,48,Pamphlet binding worker,Video Concepts,2005 Hyundai Elantra,AB+,87.6,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,100
1165,1166,female,American,Teri,Laurent,2560 Port Washington Road,Crowsnest Pass,Alberta,T0K 0E0,Canada,RobinDLaurent@armyspy.com,403-562-8302,12/21/1998,24,Urban and regional planner,Red Baron Electronics,2010 Porsche Boxster,O-,55.6,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Central,726
1166,1167,female,American,Darnell,Haley,225 Lynden Road,Gormley,Ontario,L0H 1G0,Canada,ShantaMHaley@superrito.com,905-927-9619,11/17/1996,26,Mine safety engineer,AdventureSports!,2002 Alfa Romeo 156,A+,81.0,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,53
1167,1168,male,American,Ruth,Shaw,662 Speers Road,Oakville,Ontario,L6H 3H5,Canada,JeffGShaw@rhyta.com,905-467-4350,12/13/1973,49,Dance captain,Quest Technology Service,2009 Mazda CX-9,O+,114.5,"5' 6""",Break and Enter Residential/Other,The West End,845
1168,1169,female,American,Kerry,Campbell,3388 chemin Hudson,Montreal,Quebec,H4J 1M9,Canada,AngelineDCampbell@einrot.com,514-588-8763,8/17/1992,30,Aircraft and avionics service technician,Simply Appraisals,2001 Suzuki SX,B-,100.1,"5' 8""",Break and Enter Residential/Other,The West End,726
1169,1170,female,American,Monique,Myers,494 Tchesinkut Lake Rd,Francois Lake,British Columbia,V0J 1E0,Canada,JackelineJMyers@superrito.com,250-695-3218,07-07-2001,21,Appliance repairer,Realty Depot,1992 Renault Espace,B+,68.7,"5' 3""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,13
1170,1171,male,American,Lesa,McMillen,706 40th Street,Edmonton,Alberta,T2P 3Z3,Canada,CharlesJMcMillen@cuvox.de,780-484-8207,6/26/1991,31,Airfield operations specialist,MegaSolutions,2004 Acura NSX,AB+,76.0,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,47
1171,1172,female,American,Brendon,Dunbar,477 Woodvale Drive,Glencoe,Ontario,N0L 1M0,Canada,MarjorieLDunbar@teleworm.us,519-287-0522,03-01-1998,24,Metal-refining furnace tender,Intelacard,2006 Seat Ibiza,A+,91.9,"5' 3""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,47
1172,1173,male,American,John,Coyle,4805 Adelaide St,Toronto,Ontario,M5H 1P6,Canada,RobertLCoyle@dayrep.com,416-842-5816,7/20/1994,28,Computer chip processor,Ukrop's Super Market,2003 Lotus Esprit,O+,80.7,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,33
1173,1174,male,American,Patrice,Smith,2333 Venture Place,Legal,Alberta,T0G 1L0,Canada,AndrewRSmith@dayrep.com,780-961-4965,12/21/1989,33,Library aide,Total Yard Management,1993 Audi V8,B+,113.7,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,645
1174,1175,male,American,Mary,Edmondson,1809 Queens Bay,Salmo,British Columbia,V0G 1Z0,Canada,FernandoLEdmondson@cuvox.de,250-357-3293,5/15/1987,35,Truck driver,Total Yard Management,1996 Volkswagen Caravelle,O-,92.6,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,9
1175,1176,female,American,John,Barrett,2335 184th Street,Edmonton,Alberta,T5J 2R4,Canada,TeresaJBarrett@fleckens.hu,780-469-6892,06-08-1994,28,Etcher,Mr. Steak,2004 Smart ForFour,B+,74.6,"5' 1""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,53
1176,1177,male,American,Irma,Crowe,2865 rue Saint-Antoine,Granby,Quebec,J2H 2H5,Canada,JoshuaACrowe@superrito.com,450-525-2395,6/20/1975,47,Mining and geological engineer,Crazy Eddie,2006 Ford Fusion,AB+,104.8,"5' 9""",Break and Enter Commercial,South Vancouver,13
1177,1178,male,American,Kevin,Haines,911 Carling Avenue,Ottawa,Ontario,K1Z 7B5,Canada,GaryLHaines@fleckens.hu,613-719-4048,03-12-1983,39,CPA,The Network Chef,2005 TVR Tamora,A+,86.9,"6' 2""",Break and Enter Commercial,Latchford,13
1178,1179,female,American,Randy,Jensen,2606 Edson Drive,Hinton,Alberta,T7V 1E8,Canada,HeatherLJensen@gustr.com,780-865-6407,09-03-1997,25,Personnel director,Bloom Brothers Furniture,1994 Citroen Rally Raid,O+,81.9,"5' 1""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,10
1179,1180,female,American,John,Latimore,3065 Dominion St,Morrisburg,Ontario,K0C 1X0,Canada,ConnieWLatimore@teleworm.us,613-543-2839,3/26/1993,29,Material distribution,Cut Rite Lawn Care,2005 Noble M14,O+,57.8,"5' 4""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,8
1180,1181,male,American,Sabrina,Walls,3699 Pape Ave,Toronto,Ontario,M4E 2V5,Canada,JeremyCWalls@fleckens.hu,416-694-9977,10/28/1972,50,Recruitment manager,Golf Augusta Pro Shops,2010 Lexus GS,A+,99.1,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,98
1181,1182,female,American,Wilbur,Crabb,1135 rue des Champs,Chicoutimi,Quebec,G7H 4N3,Canada,ShirleyJCrabb@superrito.com,418-541-4107,2/18/1979,44,Community health educator,Music Den,1998 Seat Alhambra,O+,63.4,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),Central,787
1182,1183,male,American,Rafael,Larsen,3379 Ste. Catherine Ouest,Montreal,Quebec,H3B 1S6,Canada,StanleySLarsen@rhyta.com,514-312-0684,5/27/1996,26,Server,Cut Rite Lawn Care,2009 GMC Savana,AB+,80.8,"5' 10""",Break and Enter Commercial,West Point Grey,9
1183,1184,male,American,Thomas,Rodgers,1695 Bellwood Acres Rd,Dwight,Ontario,P0A 1H0,Canada,ChrisERodgers@fleckens.hu,705-635-0636,7/29/2003,19,Telecommunications equipment repairer,Back To Basics Chiropractic Clinic,1994 Jaguar XJR,O+,98.5,"5' 8""",Break and Enter Commercial,The West End,35
1184,1185,male,American,Robert,White,2329 rue Levy,Montreal,Quebec,H3C 5K4,Canada,JoseLWhite@superrito.com,514-607-0894,11/15/1988,34,Transit and railroad police,Gold Medal,2014 Chevrolet Silverado 3500HD,AB+,110.4,"5' 9""",Break and Enter Commercial,Latchford,229
1185,1186,male,American,Fredrick,Roy,2370 Cardero St,Vancouver,British Columbia,S4P 3Y2,Canada,EricLRoy@armyspy.com,604-408-4793,4/28/1991,31,Conservation worker,Zany Brainy,2005 Mazda Tribute,O+,102.3,"6' 3""",Break and Enter Commercial,South Granville,35
1186,1187,male,American,Jeana,Taylor,1019 Wascana Parkway,Regina,Saskatchewan,S4S 2R3,Canada,RichardETaylor@jourrapide.com,306-791-3307,05-05-1974,48,Dry-cleaning worker,Knockout Kickboxing,1993 BMW 5.8,O-,108.6,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Mount Pleasant,845
1187,1188,male,American,Mitzi,Rodriguez,3821 Glover Road,Langley,British Columbia,V3A 1Z3,Canada,RichardMRodriguez@einrot.com,604-539-2358,09-10-1990,32,Cab driver,Strong Life,1997 Lada Vaz,AB+,67.7,"6' 0""",Mischief,Mount Pleasant,13
1188,1189,female,American,Bertha,Magill,4716 Quayside Dr,New Westminster,British Columbia,V3M 6A1,Canada,AmparoRMagill@gustr.com,604-617-5982,12/13/1996,26,Medical record coder,The Polka Dot Bear Tavern,1999 Dodge Prowler,O+,100.8,"5' 4""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,2198
1189,1190,male,American,Stephen,Shaw,4314 Reserve St,Lakefield,Ontario,K0L 2H0,Canada,DavidEShaw@einrot.com,705-652-6028,8/29/2003,19,Nuclear technician,Earthworks Yard Maintenance,2010 Volkswagen Citi,O+,94.9,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),Central,10
1190,1191,male,American,Nancy,Delrio,4985 Main St,Coronach,Saskatchewan,S0H 0Z0,Canada,OscarJDelrio@einrot.com,306-267-1000,6/22/1999,23,Natural sciences manager,Reliable Investments,1998 Seat Inca Kombi,B+,105.0,"6' 1""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,41
1191,1192,male,American,Timothy,Nash,1009 St-Jerome Street,St Jerome,Quebec,S4P 3Y2,Canada,KennethKNash@superrito.com,450-569-0947,7/17/2003,19,Composing machine operator,Pay'N Takeit,2014 Acura MDX,A+,58.2,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Mount Pleasant,9
1192,1193,male,American,Luis,Denton,2723 Haaglund Rd,Oliver,British Columbia,V0H 1T0,Canada,JamesSDenton@jourrapide.com,250-498-2283,06-06-1974,48,Unclaimed property officer,Shabby Chic,2002 Lamborghini Diablo,O+,115.1,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,8
1193,1194,male,American,David,Castillo,3742 chemin Hudson,Montreal,Quebec,H4J 1M9,Canada,DanielJCastillo@dayrep.com,514-883-6595,04-10-1989,33,Polisher,Weathervane,2003 Chevrolet Silverado,O+,62.2,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,726
1194,1195,male,American,Carl,Thomas,4518 Kinchant St,Haney,British Columbia,V2V 4H9,Canada,MichaelMThomas@cuvox.de,604-476-3150,3/24/1973,49,Editor,Capitalcorp,2006 Volkswagen LT 35 HR Panel Van,O+,90.3,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),Mount Pleasant,5
1195,1196,male,American,Peter,Lee,1226 René-Lévesque Blvd,Montreal,Quebec,H3B 4W8,Canada,AlejandroKLee@cuvox.de,514-806-8854,8/18/1982,40,Deputy sheriff,Jackhammer Technologies,2000 Chrysler Java,O+,113.8,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,33
1196,1197,male,American,Reginald,Meeker,4228 Woodvale Drive,Rodney,Ontario,N0L 2C0,Canada,VincentDMeeker@fleckens.hu,519-785-7859,01-09-1977,46,Merchandise manager,Team Uno,2011 Holden Colorado,O+,112.7,"6' 0""",Offence Against a Person,The West End,229
1197,1198,male,American,John,Lynn,353 Albert Street,St Thomas,Ontario,N5R 3R5,Canada,JeremyELynn@cuvox.de,519-637-8079,3/30/1973,49,Grounds maintenance worker,Builders Square,1999 Renault Grand Espace,O+,88.8,"6' 0""",Theft from Vehicle,Central,35
1198,1199,female,American,Shirley,Avent,2727 James Street,Scotland,Ontario,N0E 1R0,Canada,SharonJAvent@einrot.com,519-446-0058,5/19/1994,28,Career-technical teacher,Waves Music,2011 Mercedes-Benz Sprinter,O+,50.4,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Central,35
